source_id,doi,channel,condition,drug,cell_id,t_s,value,unit,fs_Hz,imaging_modality,file_origin
elife-73808-fig2-data1-v2.xlsx:intensity,10.7554/eLife.73808,NAD(P)H_intensity,rot,rot,row18,1200.0,303214.23775926,a.u.,,FLIM,real_bioelectric_data/data_raw/elife_nadh/elife-73808-fig2-data1-v2.xlsx
elife-73808-fig2-data1-v2.xlsx:intensity,10.7554/eLife.73808,NAD(P)H_intensity,oligo,none,row18,1200.0,343363.563083182,a.u.,,FLIM,real_bioelectric_data/data_raw/elife_nadh/elife-73808-fig2-data1-v2.xlsx
elife-73808-fig2-data1-v2.xlsx:intensity,10.7554/eLife.73808,NAD(P)H_intensity,fccp,fccp,row18,1200.0,274602.518101713,a.u.,,FLIM,real_bioelectric_data/data_raw/elife_nadh/elife-73808-fig2-data1-v2.xlsx
elife-73808-fig2-data1-v2.xlsx:intensity,10.7554/eLife.73808,NAD(P)H_intensity,oxamate,oxamate,row19,1200.0,312047.438423463,a.u.,,FLIM,real_bioelectric_data/data_raw/elife_nadh/elife-73808-fig2-data1-v2.xlsx
elife-73808-fig2-data1-v2.xlsx:intensity,10.7554/eLife.73808,NAD(P)H_intensity,rot,rot,row19,1200.0,373611.691485184,a.u.,,FLIM,real_bioelectric_data/data_raw/elife_nadh/elife-73808-fig2-data1-v2.xlsx
elife-73808-fig2-data1-v2.xlsx:intensity,10.7554/eLife.73808,NAD(P)H_intensity,oligo,none,row19,1200.0,362853.303245259,a.u.,,FLIM,real_bioelectric_data/data_raw/elife_nadh/elife-73808-fig2-data1-v2.xlsx
elife-73808-fig2-data1-v2.xlsx:intensity,10.7554/eLife.73808,NAD(P)H_intensity,fccp,fccp,row19,1200.0,282744.812190289,a.u.,,FLIM,real_bioelectric_data/data_raw/elife_nadh/elife-73808-fig2-data1-v2.xlsx
elife-73808-fig2-data1-v2.xlsx:intensity,10.7554/eLife.73808,NAD(P)H_intensity,oxamate,oxamate,row20,1200.0,308193.704671047,a.u.,,FLIM,real_bioelectric_data/data_raw/elife_nadh/elife-73808-fig2-data1-v2.xlsx
elife-73808-fig2-data1-v2.xlsx:intensity,10.7554/eLife.73808,NAD(P)H_intensity,rot,rot,row20,1200.0,321578.875514715,a.u.,,FLIM,real_bioelectric_data/data_raw/elife_nadh/elife-73808-fig2-data1-v2.xlsx
elife-73808-fig2-data1-v2.xlsx:intensity,10.7554/eLife.73808,NAD(P)H_intensity,oligo,none,row20,1200.0,391905.387642606,a.u.,,FLIM,real_bioelectric_data/data_raw/elife_nadh/elife-73808-fig2-data1-v2.xlsx
elife-73808-fig2-data1-v2.xlsx:intensity,10.7554/eLife.73808,NAD(P)H_intensity,fccp,fccp,row20,1200.0,262942.843107115,a.u.,,FLIM,real_bioelectric_data/data_raw/elife_nadh/elife-73808-fig2-data1-v2.xlsx
elife-73808-fig2-data1-v2.xlsx:intensity,10.7554/eLife.73808,NAD(P)H_intensity,oxamate,oxamate,row21,1200.0,286727.25642267,a.u.,,FLIM,real_bioelectric_data/data_raw/elife_nadh/elife-73808-fig2-data1-v2.xlsx
elife-73808-fig2-data1-v2.xlsx:intensity,10.7554/eLife.73808,NAD(P)H_intensity,rot,rot,row21,1200.0,299408.233602308,a.u.,,FLIM,real_bioelectric_data/data_raw/elife_nadh/elife-73808-fig2-data1-v2.xlsx
elife-73808-fig2-data1-v2.xlsx:intensity,10.7554/eLife.73808,NAD(P)H_intensity,oligo,none,row21,1200.0,321013.231808907,a.u.,,FLIM,real_bioelectric_data/data_raw/elife_nadh/elife-73808-fig2-data1-v2.xlsx
elife-73808-fig2-data1-v2.xlsx:intensity,10.7554/eLife.73808,NAD(P)H_intensity,fccp,fccp,row21,1200.0,281203.659178644,a.u.,,FLIM,real_bioelectric_data/data_raw/elife_nadh/elife-73808-fig2-data1-v2.xlsx
elife-73808-fig2-data1-v2.xlsx:intensity,10.7554/eLife.73808,NAD(P)H_intensity,oxamate,oxamate,row22,1200.0,281621.362660173,a.u.,,FLIM,real_bioelectric_data/data_raw/elife_nadh/elife-73808-fig2-data1-v2.xlsx
elife-73808-fig2-data1-v2.xlsx:intensity,10.7554/eLife.73808,NAD(P)H_intensity,rot,rot,row22,1200.0,263164.765330198,a.u.,,FLIM,real_bioelectric_data/data_raw/elife_nadh/elife-73808-fig2-data1-v2.xlsx
elife-73808-fig2-data1-v2.xlsx:intensity,10.7554/eLife.73808,NAD(P)H_intensity,oligo,none,row22,1200.0,345829.362130679,a.u.,,FLIM,real_bioelectric_data/data_raw/elife_nadh/elife-73808-fig2-data1-v2.xlsx
elife-73808-fig2-data1-v2.xlsx:intensity,10.7554/eLife.73808,NAD(P)H_intensity,fccp,fccp,row22,1200.0,220700.303275474,a.u.,,FLIM,real_bioelectric_data/data_raw/elife_nadh/elife-73808-fig2-data1-v2.xlsx
elife-73808-fig2-data1-v2.xlsx:intensity,10.7554/eLife.73808,NAD(P)H_intensity,oxamate,oxamate,row23,1200.0,312120.671677409,a.u.,,FLIM,real_bioelectric_data/data_raw/elife_nadh/elife-73808-fig2-data1-v2.xlsx
elife-73808-fig2-data1-v2.xlsx:intensity,10.7554/eLife.73808,NAD(P)H_intensity,rot,rot,row23,1200.0,309459.043701483,a.u.,,FLIM,real_bioelectric_data/data_raw/elife_nadh/elife-73808-fig2-data1-v2.xlsx
elife-73808-fig2-data1-v2.xlsx:intensity,10.7554/eLife.73808,NAD(P)H_intensity,oligo,none,row23,1200.0,310467.462164765,a.u.,,FLIM,real_bioelectric_data/data_raw/elife_nadh/elife-73808-fig2-data1-v2.xlsx
elife-73808-fig2-data1-v2.xlsx:intensity,10.7554/eLife.73808,NAD(P)H_intensity,fccp,fccp,row23,1200.0,230674.299708122,a.u.,,FLIM,real_bioelectric_data/data_raw/elife_nadh/elife-73808-fig2-data1-v2.xlsx
elife-73808-fig2-data1-v2.xlsx:intensity,10.7554/eLife.73808,NAD(P)H_intensity,oxamate,oxamate,row24,1200.0,303567.610966232,a.u.,,FLIM,real_bioelectric_data/data_raw/elife_nadh/elife-73808-fig2-data1-v2.xlsx
elife-73808-fig2-data1-v2.xlsx:intensity,10.7554/eLife.73808,NAD(P)H_intensity,rot,rot,row24,1200.0,356987.89849311,a.u.,,FLIM,real_bioelectric_data/data_raw/elife_nadh/elife-73808-fig2-data1-v2.xlsx
elife-73808-fig2-data1-v2.xlsx:intensity,10.7554/eLife.73808,NAD(P)H_intensity,oligo,none,row24,1200.0,332400.356661335,a.u.,,FLIM,real_bioelectric_data/data_raw/elife_nadh/elife-73808-fig2-data1-v2.xlsx
elife-73808-fig2-data1-v2.xlsx:intensity,10.7554/eLife.73808,NAD(P)H_intensity,fccp,fccp,row24,1200.0,243839.31168366,a.u.,,FLIM,real_bioelectric_data/data_raw/elife_nadh/elife-73808-fig2-data1-v2.xlsx
elife-73808-fig2-data1-v2.xlsx:intensity,10.7554/eLife.73808,NAD(P)H_intensity,oxamate,oxamate,row25,1200.0,370203.240813335,a.u.,,FLIM,real_bioelectric_data/data_raw/elife_nadh/elife-73808-fig2-data1-v2.xlsx
elife-73808-fig2-data1-v2.xlsx:intensity,10.7554/eLife.73808,NAD(P)H_intensity,rot,rot,row25,1200.0,295910.110638754,a.u.,,FLIM,real_bioelectric_data/data_raw/elife_nadh/elife-73808-fig2-data1-v2.xlsx
elife-73808-fig2-data1-v2.xlsx:intensity,10.7554/eLife.73808,NAD(P)H_intensity,oligo,none,row25,1200.0,350856.487576043,a.u.,,FLIM,real_bioelectric_data/data_raw/elife_nadh/elife-73808-fig2-data1-v2.xlsx
elife-73808-fig2-data1-v2.xlsx:intensity,10.7554/eLife.73808,NAD(P)H_intensity,fccp,fccp,row25,1200.0,232895.434546376,a.u.,,FLIM,real_bioelectric_data/data_raw/elife_nadh/elife-73808-fig2-data1-v2.xlsx
elife-73808-fig2-data1-v2.xlsx:intensity,10.7554/eLife.73808,NAD(P)H_intensity,oxamate,oxamate,row26,1200.0,310461.597088612,a.u.,,FLIM,real_bioelectric_data/data_raw/elife_nadh/elife-73808-fig2-data1-v2.xlsx
elife-73808-fig2-data1-v2.xlsx:intensity,10.7554/eLife.73808,NAD(P)H_intensity,rot,rot,row26,1200.0,289513.951540837,a.u.,,FLIM,real_bioelectric_data/data_raw/elife_nadh/elife-73808-fig2-data1-v2.xlsx
elife-73808-fig2-data1-v2.xlsx:intensity,10.7554/eLife.73808,NAD(P)H_intensity,oligo,none,row26,1200.0,301629.533630003,a.u.,,FLIM,real_bioelectric_data/data_raw/elife_nadh/elife-73808-fig2-data1-v2.xlsx
elife-73808-fig2-data1-v2.xlsx:intensity,10.7554/eLife.73808,NAD(P)H_intensity,fccp,fccp,row26,1200.0,237550.900814779,a.u.,,FLIM,real_bioelectric_data/data_raw/elife_nadh/elife-73808-fig2-data1-v2.xlsx
elife-73808-fig2-data1-v2.xlsx:intensity,10.7554/eLife.73808,NAD(P)H_intensity,oxamate,oxamate,row27,1200.0,280303.864988303,a.u.,,FLIM,real_bioelectric_data/data_raw/elife_nadh/elife-73808-fig2-data1-v2.xlsx
